128k,005,105065.98,105765.32
128k,010,113472.98,113394.42
128k,050,113587.65,113425.12
128k,100,113592.44,113380.01
128k,250,113505.14,112647.03
128k,500,111213.80,108396.78
16k,005,52949.34,105765.32
16k,010,85259.39,113394.42
16k,050,109516.99,113425.12
16k,100,107880.61,113380.01
16k,250,100368.02,112647.03
16k,500,31941.54,108396.78
